SampleID	Sex	Age
Sample_175	2	32
Sample_73	1	47
Sample_282	2	52
Sample_69	1	57
Sample_93	1	37
Sample_30	1	46
Sample_165	2	47
Sample_23	1	63
Sample_216	2	44
Sample_266	1	42
Sample_4	1	37
Sample_40	1	52
Sample_250	1	55
Sample_180	2	22
Sample_245	1	32
Sample_268	1	37
Sample_179	2	51
Sample_285	2	26
Sample_283	1	44
Sample_22	1	57
Sample_98	1	46
Sample_27	1	63
Sample_241	2	40
Sample_298	1	49
Sample_137	2	34
Sample_148	2	52
Sample_61	1	31
Sample_83	1	58
Sample_125	2	25
Sample_141	2	33
Sample_113	2	24
Sample_176	2	38
Sample_91	1	22
Sample_284	2	42
Sample_119	2	30
Sample_96	1	21
Sample_256	1	56
Sample_78	1	49
Sample_58	1	44
Sample_136	2	39
Sample_146	2	29
Sample_151	2	64
Sample_132	2	32
Sample_253	2	43
Sample_111	2	22
Sample_238	2	30
Sample_24	1	21
Sample_66	1	48
Sample_297	2	61
Sample_183	2	26
Sample_48	1	34
Sample_226	1	34
Sample_291	1	56
Sample_147	2	36
Sample_59	1	48
Sample_158	2	60
Sample_28	1	26
Sample_86	1	57
Sample_240	2	20
Sample_60	1	32
Sample_191	2	35
Sample_88	1	31
Sample_49	1	22
Sample_195	2	23
Sample_187	2	20
Sample_154	2	25
Sample_31	1	21
Sample_294	1	43
Sample_215	2	59
Sample_108	2	32
Sample_42	1	27
Sample_293	2	37
Sample_82	1	34
Sample_172	2	34
Sample_234	2	36
Sample_68	1	49
Sample_221	1	60
Sample_81	1	35
Sample_19	1	38
Sample_85	1	23
Sample_52	1	28
Sample_204	2	56
Sample_173	2	30
Sample_157	2	20
Sample_70	1	23
Sample_102	2	50
Sample_171	2	23
Sample_223	1	56
Sample_169	2	22
Sample_235	2	27
Sample_182	2	39
Sample_99	1	52
Sample_198	2	45
Sample_64	1	37
Sample_121	2	51
Sample_159	2	20
Sample_201	2	32
Sample_168	2	25
Sample_155	2	44
Sample_251	1	62
Sample_213	1	55
Sample_206	1	23
Sample_244	2	55
Sample_269	1	29
Sample_87	1	64
Sample_123	2	24
Sample_200	2	62
Sample_230	2	40
Sample_80	1	42
Sample_62	1	29
Sample_3	1	NA
Sample_11	1	37
Sample_210	1	52
Sample_258	2	44
Sample_14	1	41
Sample_26	1	60
Sample_299	1	31
Sample_65	1	43
Sample_233	2	42
Sample_21	1	22
Sample_17	1	34
Sample_25	1	28
Sample_170	2	33
Sample_150	2	47
Sample_174	2	25
Sample_44	1	52
Sample_205	1	61
Sample_77	1	28
Sample_273	2	48
Sample_178	2	46
Sample_47	1	45
Sample_13	1	22
Sample_74	1	51
Sample_274	1	31
Sample_56	1	35
Sample_53	1	51
Sample_120	2	50
Sample_89	1	34
Sample_75	1	36
Sample_280	2	49
Sample_272	2	52
Sample_196	2	34
Sample_271	2	54
Sample_237	1	38
Sample_207	1	33
Sample_263	1	42
Sample_300	1	34
Sample_9	1	37
Sample_18	1	56
Sample_232	2	28
Sample_219	2	26
Sample_203	2	32
Sample_292	1	30
Sample_290	1	37
Sample_67	1	29
Sample_190	2	34
Sample_181	2	61
Sample_103	2	26
Sample_252	1	37
Sample_214	1	56
Sample_2	NA	53
Sample_134	2	29
Sample_79	1	54
Sample_124	2	27
Sample_115	2	30
Sample_109	2	31
Sample_287	1	60
Sample_194	2	29
Sample_105	2	34
Sample_167	2	35
Sample_161	2	47
Sample_286	1	26
Sample_106	2	37
Sample_254	1	38
Sample_249	1	26
Sample_45	1	30
Sample_122	2	20
Sample_225	2	44
Sample_36	1	39
Sample_107	2	29
Sample_12	1	30
Sample_54	1	28
