pathway	external_id	source	ensembl_ids
Inflammatory mediator regulation of TRP channels - Homo sapiens (human)	path:hsa04750	KEGG	ENSG00000171132,ENSG00000165059,ENSG00000145675,ENSG00000256394,ENSG00000111199,ENSG00000213199,ENSG00000150995,ENSG00000134716,ENSG00000101333,ENSG00000183943,ENSG00000168970,ENSG00000108984,ENSG00000126583,ENSG00000198668,ENSG00000160014,ENSG00000102468,ENSG00000188130,ENSG00000197943,ENSG00000142875,ENSG00000078295,ENSG00000121281,ENSG00000125538,ENSG00000182621,ENSG00000196083,ENSG00000096433,ENSG00000186298,ENSG00000198400,ENSG00000144481,ENSG00000156711,ENSG00000171522,ENSG00000172531,ENSG00000050748,ENSG00000072062,ENSG00000070808,ENSG00000072182,ENSG00000173175,ENSG00000145349,ENSG00000166501,ENSG00000058404,ENSG00000185386,ENSG00000141506,ENSG00000148660,ENSG00000108839,ENSG00000167723,ENSG00000154229,ENSG00000135914,ENSG00000188089,ENSG00000124181,ENSG00000121879,ENSG00000115594,ENSG00000164742,ENSG00000105851,ENSG00000187688,ENSG00000137841,ENSG00000162104,ENSG00000117461,ENSG00000017427,ENSG00000087460,ENSG00000123104,ENSG00000051382,ENSG00000107643,ENSG00000169885,ENSG00000175591,ENSG00000184381,ENSG00000196639,ENSG00000104321,ENSG00000197122,ENSG00000034152,ENSG00000178363,ENSG00000174233,ENSG00000116711,ENSG00000168398,ENSG00000159337,ENSG00000163932,ENSG00000164251,ENSG00000110881,ENSG00000196689,ENSG00000109339,ENSG00000065675,ENSG00000155897,ENSG00000178372,ENSG00000213639,ENSG00000143933,ENSG00000125384,ENSG00000027075,ENSG00000147246,ENSG00000171608,ENSG00000112062,ENSG00000156052,ENSG00000149782,ENSG00000105499,ENSG00000243708,ENSG00000105647,ENSG00000138031,ENSG00000168907,ENSG00000129467,ENSG00000108684,ENSG00000134259,ENSG00000100739
Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)	path:hsa00604	KEGG	ENSG00000170266,ENSG00000115525,ENSG00000111728,ENSG00000136840,ENSG00000101638,ENSG00000213614,ENSG00000008513,ENSG00000160408,ENSG00000235863,ENSG00000117069,ENSG00000157350,ENSG00000049860,ENSG00000184005,ENSG00000169359,ENSG00000135454
Non-small cell lung cancer - Homo sapiens (human)	path:hsa05223	KEGG	ENSG00000146648,ENSG00000117461,ENSG00000186350,ENSG00000126934,ENSG00000112242,ENSG00000142208,ENSG00000189283,ENSG00000166501,ENSG00000102882,ENSG00000177885,ENSG00000051382,ENSG00000138798,ENSG00000139687,ENSG00000118689,ENSG00000266094,ENSG00000100030,ENSG00000147889,ENSG00000174775,ENSG00000078061,ENSG00000169032,ENSG00000007968,ENSG00000171608,ENSG00000143171,ENSG00000163235,ENSG00000141736,ENSG00000132155,ENSG00000100485,ENSG00000154229,ENSG00000068028,ENSG00000126583,ENSG00000124181,ENSG00000115904,ENSG00000105647,ENSG00000121879,ENSG00000135446,ENSG00000117020,ENSG00000143924,ENSG00000145675,ENSG00000132906,ENSG00000002330,ENSG00000213281,ENSG00000105851,ENSG00000141510,ENSG00000140992,ENSG00000133703,ENSG00000157764,ENSG00000110092,ENSG00000105810,ENSG00000197943,ENSG00000101412,ENSG00000141506,ENSG00000077092,ENSG00000171094,ENSG00000101109,ENSG00000204231,ENSG00000105221
Platelet activation - Homo sapiens (human)	path:hsa04611	KEGG	ENSG00000160007,ENSG00000172575,ENSG00000061918,ENSG00000140795,ENSG00000117461,ENSG00000141506,ENSG00000163558,ENSG00000204248,ENSG00000150995,ENSG00000072062,ENSG00000254087,ENSG00000101333,ENSG00000100030,ENSG00000183943,ENSG00000168970,ENSG00000137076,ENSG00000160013,ENSG00000010671,ENSG00000065135,ENSG00000171557,ENSG00000188130,ENSG00000116711,ENSG00000197943,ENSG00000159337,ENSG00000142875,ENSG00000078295,ENSG00000117020,ENSG00000121281,ENSG00000145675,ENSG00000182621,ENSG00000096433,ENSG00000092531,ENSG00000185245,ENSG00000101306,ENSG00000186298,ENSG00000259207,ENSG00000184009,ENSG00000120063,ENSG00000156711,ENSG00000172531,ENSG00000108821,ENSG00000067900,ENSG00000067606,ENSG00000058272,ENSG00000065534,ENSG00000173175,ENSG00000169860,ENSG00000102882,ENSG00000108405,ENSG00000088053,ENSG00000067560,ENSG00000185386,ENSG00000059377,ENSG00000080573,ENSG00000130635,ENSG00000145949,ENSG00000043462,ENSG00000188089,ENSG00000165025,ENSG00000121879,ENSG00000114353,ENSG00000125753,ENSG00000164742,ENSG00000158869,ENSG00000105851,ENSG00000127533,ENSG00000005961,ENSG00000118640,ENSG00000167323,ENSG00000164692,ENSG00000137841,ENSG00000162104,ENSG00000060718,ENSG00000171564,ENSG00000138031,ENSG00000171560,ENSG00000010810,ENSG00000006638,ENSG00000087460,ENSG00000127314,ENSG00000123104,ENSG00000051382,ENSG00000164867,ENSG00000138669,ENSG00000127955,ENSG00000197122,ENSG00000174233,ENSG00000169704,ENSG00000196914,ENSG00000095303,ENSG00000178732,ENSG00000164171,ENSG00000110799,ENSG00000171914,ENSG00000203618,ENSG00000171502,ENSG00000155897,ENSG00000213639,ENSG00000185532,ENSG00000164116,ENSG00000152402,ENSG00000077420,ENSG00000076928,ENSG00000142208,ENSG00000149781,ENSG00000204262,ENSG00000171608,ENSG00000112062,ENSG00000156052,ENSG00000149782,ENSG00000105499,ENSG00000068831,ENSG00000243708,ENSG00000105647,ENSG00000116473,ENSG00000139219,ENSG00000118680,ENSG00000134318,ENSG00000150093,ENSG00000165059,ENSG00000168907,ENSG00000181104,ENSG00000129467,ENSG00000169313,ENSG00000196739,ENSG00000143226,ENSG00000101608,ENSG00000168542,ENSG00000276045,ENSG00000075624,ENSG00000105221
Cell adhesion molecules (CAMs) - Homo sapiens (human)	path:hsa04514	KEGG	ENSG00000134258,ENSG00000204592,ENSG00000178562,ENSG00000204642,ENSG00000091409,ENSG00000253958,ENSG00000103855,ENSG00000114013,ENSG00000159261,ENSG00000039068,ENSG00000010610,ENSG00000120217,ENSG00000007908,ENSG00000139626,ENSG00000018236,ENSG00000124145,ENSG00000184697,ENSG00000130202,ENSG00000108622,ENSG00000150637,ENSG00000090863,ENSG00000153563,ENSG00000227357,ENSG00000088827,ENSG00000204632,ENSG00000228607,ENSG00000038427,ENSG00000197471,ENSG00000162706,ENSG00000115232,ENSG00000169439,ENSG00000182985,ENSG00000162512,ENSG00000196101,ENSG00000134873,ENSG00000174469,ENSG00000002586,ENSG00000223865,ENSG00000177707,ENSG00000160255,ENSG00000172116,ENSG00000101017,ENSG00000146938,ENSG00000113946,ENSG00000181885,ENSG00000110876,ENSG00000158769,ENSG00000110076,ENSG00000261371,ENSG00000166086,ENSG00000189143,ENSG00000149564,ENSG00000213937,ENSG00000162692,ENSG00000177300,ENSG00000179344,ENSG00000170558,ENSG00000105855,ENSG00000005844,ENSG00000169896,ENSG00000077943,ENSG00000105695,ENSG00000179915,ENSG00000160223,ENSG00000188404,ENSG00000174175,ENSG00000184144,ENSG00000163347,ENSG00000198502,ENSG00000148948,ENSG00000196358,ENSG00000129910,ENSG00000142949,ENSG00000185758,ENSG00000172260,ENSG00000163599,ENSG00000206503,ENSG00000198910,ENSG00000204287,ENSG00000108797,ENSG00000173482,ENSG00000116815,ENSG00000231389,ENSG00000165215,ENSG00000156284,ENSG00000170017,ENSG00000131409,ENSG00000169760,ENSG00000163600,ENSG00000241106,ENSG00000197646,ENSG00000110400,ENSG00000181847,ENSG00000179242,ENSG00000012124,ENSG00000138448,ENSG00000188389,ENSG00000197822,ENSG00000179776,ENSG00000204525,ENSG00000013297,ENSG00000081237,ENSG00000196126,ENSG00000174059,ENSG00000013725,ENSG00000073008,ENSG00000242574,ENSG00000021645,ENSG00000156282,ENSG00000237541,ENSG00000163531,ENSG00000171217,ENSG00000165376,ENSG00000197965,ENSG00000164007,ENSG00000128594,ENSG00000184113,ENSG00000162631,ENSG00000116824,ENSG00000196338,ENSG00000154654,ENSG00000158887,ENSG00000234745,ENSG00000121594,ENSG00000090339,ENSG00000106404,ENSG00000102245,ENSG00000066405,ENSG00000091129,ENSG00000150093,ENSG00000062038,ENSG00000144668,ENSG00000169992,ENSG00000115884,ENSG00000076662,ENSG00000204257,ENSG00000154721,ENSG00000204252,ENSG00000099866,ENSG00000149294,ENSG00000067141,ENSG00000196735
Chronic myeloid leukemia - Homo sapiens (human)	path:hsa05220	KEGG	ENSG00000185634,ENSG00000112242,ENSG00000173757,ENSG00000126934,ENSG00000106799,ENSG00000160691,ENSG00000117461,ENSG00000142208,ENSG00000114423,ENSG00000148082,ENSG00000175029,ENSG00000102882,ENSG00000105329,ENSG00000169032,ENSG00000177885,ENSG00000163513,ENSG00000139687,ENSG00000097007,ENSG00000116478,ENSG00000105810,ENSG00000100030,ENSG00000147889,ENSG00000111276,ENSG00000174775,ENSG00000078061,ENSG00000051382,ENSG00000124762,ENSG00000171608,ENSG00000173039,ENSG00000186716,ENSG00000033327,ENSG00000179295,ENSG00000132155,ENSG00000100485,ENSG00000141510,ENSG00000135679,ENSG00000141506,ENSG00000100906,ENSG00000105647,ENSG00000196591,ENSG00000115904,ENSG00000159692,ENSG00000104365,ENSG00000092969,ENSG00000121879,ENSG00000171552,ENSG00000109320,ENSG00000085276,ENSG00000110395,ENSG00000167193,ENSG00000135446,ENSG00000126561,ENSG00000269335,ENSG00000129946,ENSG00000145675,ENSG00000007968,ENSG00000141646,ENSG00000213281,ENSG00000105851,ENSG00000101412,ENSG00000159216,ENSG00000133703,ENSG00000157764,ENSG00000110092,ENSG00000099942,ENSG00000136997,ENSG00000213341,ENSG00000117020,ENSG00000142273,ENSG00000002330,ENSG00000105221,ENSG00000166949,ENSG00000119699
ECM-receptor interaction - Homo sapiens (human)	path:hsa04512	KEGG	ENSG00000189056,ENSG00000213949,ENSG00000091136,ENSG00000091409,ENSG00000204248,ENSG00000169031,ENSG00000115221,ENSG00000124145,ENSG00000139626,ENSG00000105664,ENSG00000135424,ENSG00000159164,ENSG00000082781,ENSG00000206384,ENSG00000118785,ENSG00000185245,ENSG00000142173,ENSG00000169231,ENSG00000122012,ENSG00000259207,ENSG00000115232,ENSG00000108821,ENSG00000196776,ENSG00000134871,ENSG00000130702,ENSG00000088053,ENSG00000186340,ENSG00000197565,ENSG00000135862,ENSG00000080573,ENSG00000130635,ENSG00000142798,ENSG00000196569,ENSG00000188153,ENSG00000188157,ENSG00000050555,ENSG00000172037,ENSG00000072571,ENSG00000196878,ENSG00000105855,ENSG00000112769,ENSG00000142156,ENSG00000077943,ENSG00000005961,ENSG00000041982,ENSG00000135218,ENSG00000116147,ENSG00000060718,ENSG00000173402,ENSG00000120332,ENSG00000185518,ENSG00000163359,ENSG00000168477,ENSG00000169704,ENSG00000161638,ENSG00000187498,ENSG00000178732,ENSG00000138448,ENSG00000164171,ENSG00000110799,ENSG00000143127,ENSG00000132470,ENSG00000053747,ENSG00000029559,ENSG00000203618,ENSG00000171502,ENSG00000005884,ENSG00000026508,ENSG00000113296,ENSG00000204262,ENSG00000115414,ENSG00000058085,ENSG00000139219,ENSG00000109072,ENSG00000091128,ENSG00000150093,ENSG00000172752,ENSG00000144668,ENSG00000101680,ENSG00000164692,ENSG00000115884,ENSG00000081052,ENSG00000196739,ENSG00000137801,ENSG00000168542,ENSG00000137809,ENSG00000136457
Focal adhesion - Homo sapiens (human)	path:hsa04510	KEGG	ENSG00000197565,ENSG00000160007,ENSG00000131504,ENSG00000140795,ENSG00000117461,ENSG00000136068,ENSG00000189056,ENSG00000213949,ENSG00000091136,ENSG00000091409,ENSG00000138798,ENSG00000101335,ENSG00000204248,ENSG00000168036,ENSG00000145431,ENSG00000019991,ENSG00000100030,ENSG00000197461,ENSG00000101966,ENSG00000169031,ENSG00000204262,ENSG00000110799,ENSG00000186111,ENSG00000149269,ENSG00000115221,ENSG00000137076,ENSG00000132155,ENSG00000135862,ENSG00000139626,ENSG00000173511,ENSG00000105664,ENSG00000148082,ENSG00000142156,ENSG00000150630,ENSG00000185634,ENSG00000070831,ENSG00000117020,ENSG00000215375,ENSG00000082781,ENSG00000145675,ENSG00000206384,ENSG00000118971,ENSG00000118785,ENSG00000167193,ENSG00000105971,ENSG00000105976,ENSG00000105974,ENSG00000101306,ENSG00000142173,ENSG00000186298,ENSG00000113721,ENSG00000082701,ENSG00000259207,ENSG00000184009,ENSG00000115232,ENSG00000138964,ENSG00000172531,ENSG00000108821,ENSG00000067900,ENSG00000169231,ENSG00000102755,ENSG00000169750,ENSG00000112576,ENSG00000065534,ENSG00000107643,ENSG00000134871,ENSG00000130702,ENSG00000171791,ENSG00000125503,ENSG00000166501,ENSG00000129946,ENSG00000102882,ENSG00000177885,ENSG00000058085,ENSG00000182533,ENSG00000077264,ENSG00000186340,ENSG00000112715,ENSG00000174775,ENSG00000035403,ENSG00000100311,ENSG00000080573,ENSG00000180370,ENSG00000072110,ENSG00000130635,ENSG00000107263,ENSG00000196569,ENSG00000154229,ENSG00000145949,ENSG00000188153,ENSG00000126583,ENSG00000166333,ENSG00000050555,ENSG00000121879,ENSG00000172037,ENSG00000125753,ENSG00000002330,ENSG00000134215,ENSG00000196878,ENSG00000105855,ENSG00000112769,ENSG00000135424,ENSG00000119630,ENSG00000050748,ENSG00000077943,ENSG00000111245,ENSG00000005961,ENSG00000248746,ENSG00000171862,ENSG00000172752,ENSG00000170962,ENSG00000106436,ENSG00000116147,ENSG00000134853,ENSG00000165197,ENSG00000017427,ENSG00000010810,ENSG00000091128,ENSG00000128340,ENSG00000127314,ENSG00000169032,ENSG00000051382,ENSG00000177606,ENSG00000140443,ENSG00000163359,ENSG00000077522,ENSG00000077157,ENSG00000141736,ENSG00000164692,ENSG00000168477,ENSG00000023445,ENSG00000188677,ENSG00000197122,ENSG00000160293,ENSG00000115904,ENSG00000161638,ENSG00000197702,ENSG00000089159,ENSG00000187498,ENSG00000162909,ENSG00000105851,ENSG00000101349,ENSG00000138448,ENSG00000164171,ENSG00000058335,ENSG00000140992,ENSG00000143127,ENSG00000110092,ENSG00000132470,ENSG00000136238,ENSG00000141506,ENSG00000053747,ENSG00000171914,ENSG00000029559,ENSG00000150760,ENSG00000109339,ENSG00000060718,ENSG00000196924,ENSG00000171502,ENSG00000169398,ENSG00000041982,ENSG00000160691,ENSG00000005884,ENSG00000130669,ENSG00000213639,ENSG00000100852,ENSG00000146648,ENSG00000037280,ENSG00000113296,ENSG00000050820,ENSG00000128591,ENSG00000142208,ENSG00000100485,ENSG00000130402,ENSG00000128052,ENSG00000171608,ENSG00000180209,ENSG00000126767,ENSG00000106631,ENSG00000115414,ENSG00000067560,ENSG00000105647,ENSG00000120332,ENSG00000116473,ENSG00000139219,ENSG00000118680,ENSG00000109072,ENSG00000134318,ENSG00000159840,ENSG00000150093,ENSG00000141968,ENSG00000144668,ENSG00000101680,ENSG00000081052,ENSG00000110330,ENSG00000137843,ENSG00000157764,ENSG00000099942,ENSG00000196739,ENSG00000137801,ENSG00000101608,ENSG00000168542,ENSG00000137809,ENSG00000136457,ENSG00000058272,ENSG00000075624,ENSG00000105221
Protein export - Homo sapiens (human)	path:hsa03060	KEGG	ENSG00000166562,ENSG00000144867,ENSG00000174780,ENSG00000184903,ENSG00000153037,ENSG00000140319,ENSG00000118363,ENSG00000025796,ENSG00000100883,ENSG00000148950,ENSG00000155463,ENSG00000129128,ENSG00000058262,ENSG00000065665,ENSG00000140612,ENSG00000167881,ENSG00000114902,ENSG00000044574,ENSG00000132432,ENSG00000106803,ENSG00000182934,ENSG00000008952,ENSG00000143742
Pyruvate metabolism - Homo sapiens (human)	path:hsa00620	KEGG	ENSG00000072210,ENSG00000082212,ENSG00000075239,ENSG00000166796,ENSG00000014641,ENSG00000119640,ENSG00000067225,ENSG00000063854,ENSG00000166816,ENSG00000111275,ENSG00000171989,ENSG00000091483,ENSG00000172497,ENSG00000124767,ENSG00000143627,ENSG00000124253,ENSG00000164904,ENSG00000100889,ENSG00000146701,ENSG00000065833,ENSG00000103253,ENSG00000170634,ENSG00000076555,ENSG00000091140,ENSG00000173599,ENSG00000111716,ENSG00000278540,ENSG00000131828,ENSG00000168291,ENSG00000154930,ENSG00000131069,ENSG00000134333,ENSG00000137124,ENSG00000166800,ENSG00000137106,ENSG00000150768,ENSG00000143149,ENSG00000151376,ENSG00000163114,ENSG00000120437
mTOR signaling pathway - Homo sapiens (human)	path:hsa04150	KEGG	ENSG00000117461,ENSG00000198793,ENSG00000254647,ENSG00000017427,ENSG00000164327,ENSG00000266173,ENSG00000155876,ENSG00000108443,ENSG00000141506,ENSG00000167965,ENSG00000165699,ENSG00000166501,ENSG00000102882,ENSG00000232810,ENSG00000051382,ENSG00000175634,ENSG00000071242,ENSG00000100030,ENSG00000112715,ENSG00000142208,ENSG00000168209,ENSG00000171608,ENSG00000141564,ENSG00000177169,ENSG00000072133,ENSG00000100644,ENSG00000154229,ENSG00000132356,ENSG00000162409,ENSG00000126583,ENSG00000135932,ENSG00000137154,ENSG00000177189,ENSG00000104365,ENSG00000105647,ENSG00000121879,ENSG00000102547,ENSG00000116954,ENSG00000117020,ENSG00000145675,ENSG00000204673,ENSG00000063046,ENSG00000135930,ENSG00000187840,ENSG00000105851,ENSG00000175766,ENSG00000025039,ENSG00000140992,ENSG00000151247,ENSG00000106615,ENSG00000157764,ENSG00000083750,ENSG00000140474,ENSG00000171862,ENSG00000118046,ENSG00000103197,ENSG00000117676,ENSG00000169047,ENSG00000083290,ENSG00000105221
