pathway	source	metabolites
Arginine and proline metabolism - Homo sapiens (human)	KEGG	kegg:C00077,kegg:C02714,kegg:C00012,kegg:C02305,kegg:C00179,kegg:C00019,kegg:C04281,kegg:C03440,kegg:C00406,kegg:C01877,kegg:C00763,kegg:C05946,kegg:C03296,kegg:C00581,kegg:C00441,kegg:C15699,kegg:C02946,kegg:C02565,kegg:C00986,kegg:C01157,kegg:C05941,kegg:C05942,kegg:C15700,kegg:C05945,kegg:C01137,kegg:C05947,kegg:C00086,kegg:C03375,kegg:C00048,kegg:C01110,kegg:C01035,kegg:C04498,kegg:C00315,kegg:C00334,kegg:C00555,kegg:C03564,kegg:C00213,kegg:C00750,kegg:C03287,kegg:C01682,kegg:C03415,kegg:C00148,kegg:C05933,kegg:C00533,kegg:C00062,kegg:C00791,kegg:C18326,kegg:C00022,kegg:C05147,kegg:C00025,kegg:C00436,kegg:C00433,kegg:C05938,kegg:C00431,kegg:C18325,kegg:C05936,kegg:C05931,kegg:C03078,kegg:C03166,kegg:C05932,kegg:C18174,kegg:C04137,kegg:C01043,kegg:C01165,kegg:C15767,kegg:C03912,kegg:C02647,kegg:C00223,kegg:C04282,kegg:C10497,kegg:C00300,kegg:C03771,kegg:C05939,kegg:C00884,kegg:C18172,kegg:C00134
Dopaminergic synapse - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C00355,kegg:C00165,kegg:C03758,kegg:C05582,kegg:C01330,kegg:C01245,kegg:C01161,kegg:C00082,kegg:C05587,kegg:C00575,kegg:C00238
Melanoma - Homo sapiens (human)	KEGG	kegg:C05981
Allograft rejection - Homo sapiens (human)	KEGG	kegg:C00533
Graft-versus-host disease - Homo sapiens (human)	KEGG	kegg:C00338,kegg:C00533
Cardiac muscle contraction - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C00238,kegg:C00080,kegg:C01330
Glutamatergic synapse - Homo sapiens (human)	KEGG	kegg:C00064,kegg:C00076,kegg:C00165,kegg:C00025,kegg:C01330,kegg:C01245,kegg:C00575,kegg:C00238
Type II diabetes mellitus - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C00162,kegg:C00022,kegg:C00002,kegg:C00238,kegg:C00031
Non-alcoholic fatty liver disease (NAFLD) - Homo sapiens (human)	KEGG	kegg:C00031,kegg:C00162
Celecoxib Pathway, Pharmacodynamics	PharmGKB	kegg:C07589
Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	KEGG	kegg:C00156,kegg:C05809,kegg:C00811,kegg:C05804,kegg:C05807,kegg:C05803,kegg:C05802,kegg:C16695,kegg:C00082,kegg:C17560,kegg:C17562,kegg:C17569,kegg:C17568,kegg:C16519,kegg:C00251,kegg:C00399,kegg:C16999,kegg:C05427,kegg:C03160,kegg:C06986,kegg:C20737,kegg:C13425,kegg:C20738,kegg:C03672,kegg:C10793,kegg:C05805,kegg:C17432,kegg:C02483,kegg:C05313,kegg:C02477,kegg:C17010,kegg:C17017,kegg:C18131,kegg:C17018,kegg:C01967,kegg:C05847,kegg:C18133,kegg:C18132,kegg:C04145,kegg:C14153,kegg:C18135,kegg:C18134,kegg:C20265,kegg:C14152,kegg:C00544,kegg:C03657,kegg:C02949,kegg:C15882,kegg:C15883,kegg:C17412,kegg:C03313,kegg:C03885,kegg:C05849,kegg:C05848,kegg:C01179,kegg:C02059,kegg:C17561,kegg:C00353,kegg:C13309,kegg:C20772,kegg:C20773,kegg:C00828,kegg:C17559,kegg:C04146,kegg:C17554,kegg:C02730,kegg:C17551,kegg:C17552,kegg:C15547,kegg:C00423,kegg:C14151,kegg:C05818,kegg:C05819,kegg:C14155,kegg:C14154,kegg:C14156,kegg:C05812,kegg:C05813,kegg:C05810,kegg:C05811,kegg:C05817,kegg:C05814,kegg:C05815,kegg:C03993,kegg:C00223,kegg:C17570,kegg:C05200,kegg:C00341,kegg:C00885,kegg:C01230
Pertussis - Homo sapiens (human)	KEGG	kegg:C00253,kegg:C00076,kegg:C00374,kegg:C19596,kegg:C00002,kegg:C12505,kegg:C05005,kegg:C00338,kegg:C00575,kegg:C00238
Salmonella infection - Homo sapiens (human)	KEGG	kegg:C04637,kegg:C00338,kegg:C00533,kegg:C00062
Pyrimidine metabolism - Homo sapiens (human)	KEGG	kegg:C00363,kegg:C00039,kegg:C00015,kegg:C00178,kegg:C00106,kegg:C15607,kegg:C00075,kegg:C00383,kegg:C05145,kegg:C00705,kegg:C06198,kegg:C00906,kegg:C00460,kegg:C00813,kegg:C00429,kegg:C01346,kegg:C00112,kegg:C05822,kegg:C00364,kegg:C05100,kegg:C02642,kegg:C20253,kegg:C00086,kegg:C00365,kegg:C02376,kegg:C00475,kegg:C00438,kegg:C02354,kegg:C02355,kegg:C03997,kegg:C00337,kegg:C00239,kegg:C01563,kegg:C01013,kegg:C00064,kegg:C00029,kegg:C00105,kegg:C00063,kegg:C00169,kegg:C00881,kegg:C00119,kegg:C01368,kegg:C00295,kegg:C20249,kegg:C02170,kegg:C00459,kegg:C00458,kegg:C00672,kegg:C20231,kegg:C00299,kegg:C00380,kegg:C00099,kegg:C00214,kegg:C11039,kegg:C11038,kegg:C00046,kegg:C01168,kegg:C00222,kegg:C01103,kegg:C05281,kegg:C20254,kegg:C00055,kegg:C00343,kegg:C00342,kegg:C02067,kegg:C00526
Glycolysis / Gluconeogenesis - Homo sapiens (human)	KEGG	kegg:C00267,kegg:C00668,kegg:C00074,kegg:C00111,kegg:C00033,kegg:C00031,kegg:C00118,kegg:C00036,kegg:C00469,kegg:C01159,kegg:C01172,kegg:C00186,kegg:C15972,kegg:C15973,kegg:C16255,kegg:C00084,kegg:C00236,kegg:C05378,kegg:C00103,kegg:C00068,kegg:C00022,kegg:C00024,kegg:C00631,kegg:C06187,kegg:C06186,kegg:C05125,kegg:C06188,kegg:C00197,kegg:C05345,kegg:C00221,kegg:C01451
Fructose and mannose metabolism - Homo sapiens (human)	KEGG	kegg:C00159,kegg:C00507,kegg:C00111,kegg:C00247,kegg:C03117,kegg:C00118,kegg:C00665,kegg:C00424,kegg:C01487,kegg:C01768,kegg:C01934,kegg:C05345,kegg:C00464,kegg:C00976,kegg:C01721,kegg:C05392,kegg:C01131,kegg:C00186,kegg:C11544,kegg:C01355,kegg:C02962,kegg:C11516,kegg:C01096,kegg:C01222,kegg:C02431,kegg:C00577,kegg:C03827,kegg:C03979,kegg:C00275,kegg:C18096,kegg:C01019,kegg:C02888,kegg:C01720,kegg:C00794,kegg:C02985,kegg:C01099,kegg:C00392,kegg:C01094,kegg:C03267,kegg:C02492,kegg:C00636,kegg:C02991,kegg:C00861,kegg:C20781,kegg:C00644,kegg:C06192,kegg:C02977,kegg:C00095,kegg:C00096,kegg:C00267,kegg:C00325,kegg:C05378,kegg:C18028
Renal cell carcinoma - Homo sapiens (human)	KEGG	kegg:C00007,kegg:C00149,kegg:C00122
Legionellosis - Homo sapiens (human)	KEGG	kegg:C00338,kegg:C01277
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis - Homo sapiens (human)	KEGG	kegg:G13045,kegg:G13044,kegg:G00149,kegg:C00350,kegg:G00148,kegg:G00147,kegg:C00154,kegg:G00145,kegg:G00144,kegg:G00143,kegg:C01194,kegg:C15658,kegg:G00146,kegg:C00043,kegg:C03862,kegg:G13046
Inositol phosphate metabolism - Homo sapiens (human)	KEGG	kegg:C00111,kegg:C11555,kegg:C04062,kegg:C04063,kegg:C00118,kegg:C05981,kegg:C01277,kegg:C00641,kegg:C04549,kegg:C04477,kegg:C01177,kegg:C11556,kegg:C11557,kegg:C11554,kegg:C01284,kegg:C20251,kegg:C04520,kegg:C01220,kegg:C01245,kegg:C01243,kegg:C04563,kegg:C06153,kegg:C19891,kegg:C01204,kegg:C00691,kegg:C03660,kegg:C04579,kegg:C00024,kegg:C04637,kegg:C01194,kegg:C06893,kegg:C06892,kegg:C16737,kegg:C03659,kegg:C01272,kegg:C03546,kegg:C00092,kegg:C00191,kegg:C00222,kegg:C19799,kegg:C19794,kegg:C04287,kegg:C04006,kegg:C00137
Glycerolipid metabolism - Homo sapiens (human)	KEGG	kegg:C00681,kegg:C00116,kegg:C00111,kegg:C04046,kegg:C00258,kegg:C00641,kegg:C00422,kegg:C06038,kegg:C06037,kegg:C00184,kegg:C11521,kegg:C03692,kegg:C00577,kegg:C00040,kegg:C01885,kegg:C05401,kegg:C00029,kegg:C00162,kegg:C02457,kegg:C20898,kegg:C20897,kegg:C00416,kegg:C00969,kegg:C06365,kegg:C06364,kegg:C04872,kegg:C00093,kegg:C00197,kegg:C04315,kegg:C06040,kegg:C06041,kegg:C06042,kegg:C13508
Ether lipid metabolism - Homo sapiens (human)	KEGG	kegg:C04361,kegg:C02773,kegg:C03372,kegg:C20825,kegg:C04635,kegg:C00958,kegg:C01264,kegg:C04756,kegg:C03820,kegg:C05212,kegg:C04317,kegg:C03454,kegg:C00670,kegg:C03201,kegg:C04598,kegg:C20859,kegg:C05977,kegg:C15647,kegg:C04475,kegg:C04517,kegg:C03968,kegg:C03715,kegg:C15646,kegg:C01233,kegg:C15645
Glycerophospholipid metabolism - Homo sapiens (human)	KEGG	kegg:C00114,kegg:C00681,kegg:C00111,kegg:C20518,kegg:C04308,kegg:C05980,kegg:C00157,kegg:C18125,kegg:C00588,kegg:C00641,kegg:C00623,kegg:C01996,kegg:C18129,kegg:C00189,kegg:C06772,kegg:C06771,kegg:C18168,kegg:C00084,kegg:C18126,kegg:C00570,kegg:C01241,kegg:C03974,kegg:C00040,kegg:C20466,kegg:C04230,kegg:C04233,kegg:C00513,kegg:C00350,kegg:C00416,kegg:C00670,kegg:C01194,kegg:C18169,kegg:C00269,kegg:C04590,kegg:C18059,kegg:C03892,kegg:C13482,kegg:C05974,kegg:C05976,kegg:C03872,kegg:C00093,kegg:C04638,kegg:C03372,kegg:C01233,kegg:C03819,kegg:C00307,kegg:C04438,kegg:C05973,kegg:C02737,kegg:C01210,kegg:C00344,kegg:C00346
Synaptic vesicle cycle - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C16041,kegg:C00388,kegg:C00002,kegg:C03758,kegg:C00037,kegg:C00025,kegg:C00547,kegg:C00080,kegg:C00334,kegg:C00780,kegg:C01996
Long-term potentiation - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C00165,kegg:C00025,kegg:C01330,kegg:C00305,kegg:C01245,kegg:C00575
Retrograde endocannabinoid signaling - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C00116,kegg:C00165,kegg:C00350,kegg:C00189,kegg:C19912,kegg:C00689,kegg:C00025,kegg:C00157,kegg:C11695,kegg:C01245,kegg:C00427,kegg:C00219,kegg:C00575,kegg:C00334,kegg:C19913,kegg:C01330,kegg:C00238,kegg:C13856
Neurotrophin signaling pathway - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C01245,kegg:C00165,kegg:C05981,kegg:C00195
Central carbon metabolism in cancer - Homo sapiens (human)	KEGG	kegg:C00158,kegg:C00074,kegg:C00073,kegg:C00031,kegg:C00197,kegg:C00037,kegg:C00036,kegg:C00079,kegg:C00078,kegg:C00704,kegg:C00085,kegg:C00186,kegg:C00183,kegg:C00049,kegg:C00082,kegg:C00042,kegg:C00041,kegg:C00152,kegg:C00123,kegg:C00122,kegg:C00064,kegg:C00065,kegg:C00149,kegg:C00148,kegg:C00062,kegg:C00022,kegg:C00024,kegg:C00025,kegg:C00026,kegg:C00407,kegg:C00631,kegg:C00311,kegg:C00665,kegg:C00092,kegg:C00354,kegg:C00097,kegg:C00135
Choline metabolism in cancer - Homo sapiens (human)	KEGG	kegg:C00114,kegg:C04230,kegg:C00162,kegg:C00165,kegg:C00093,kegg:C00416,kegg:C00670,kegg:C00157,kegg:C00307,kegg:C00588,kegg:C05981
GABAergic synapse - Homo sapiens (human)	KEGG	kegg:C00064,kegg:C00076,kegg:C00698,kegg:C00025,kegg:C00026,kegg:C00334,kegg:C00575,kegg:C00042,kegg:C00238
Serotonergic synapse - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C05965,kegg:C14768,kegg:C00078,kegg:C02166,kegg:C02165,kegg:C00427,kegg:C00643,kegg:C04822,kegg:C00584,kegg:C05966,kegg:C05964,kegg:C05356,kegg:C05963,kegg:C01330,kegg:C01245,kegg:C00219,kegg:C00575,kegg:C14771,kegg:C14770,kegg:C14773,kegg:C14772,kegg:C14775,kegg:C00238,kegg:C00165,kegg:C00696,kegg:C02198,kegg:C00909,kegg:C00639,kegg:C14774,kegg:C14769,kegg:C14812,kegg:C05953,kegg:C05957,kegg:C05956,kegg:C05955,kegg:C05954,kegg:C14821,kegg:C14820,kegg:C14823,kegg:C05635,kegg:C00780
Butanoate metabolism - Homo sapiens (human)	KEGG	kegg:C03561,kegg:C00246,kegg:C01089,kegg:C01412,kegg:C02630,kegg:C00741,kegg:C02411,kegg:C01769,kegg:C00877,kegg:C00810,kegg:C20657,kegg:C00497,kegg:C00232,kegg:C00334,kegg:C03046,kegg:C03044,kegg:C11062,kegg:C04546,kegg:C00332,kegg:C00122,kegg:C00356,kegg:C00164,kegg:C02331,kegg:C00022,kegg:C06010,kegg:C00024,kegg:C00025,kegg:C00026,kegg:C00042,kegg:C06145,kegg:C01144,kegg:C00091,kegg:C06143,kegg:C06142,kegg:C03058,kegg:C00989,kegg:C06146,kegg:C02527,kegg:C06144,kegg:C00136,kegg:C01384
Lysine biosynthesis - Homo sapiens (human)	KEGG	kegg:C00680,kegg:C05535,kegg:C00263,kegg:C05539,kegg:C00666,kegg:C00449,kegg:C20278,kegg:C00441,kegg:C20258,kegg:C00956,kegg:C05662,kegg:C04882,kegg:C20277,kegg:C03972,kegg:C00049,kegg:C04390,kegg:C04421,kegg:C05560,kegg:C00047,kegg:C20279,kegg:C19889,kegg:C04462,kegg:C00024,kegg:C04076,kegg:C00026,kegg:C03082,kegg:C16138,kegg:C04877,kegg:C03871,kegg:C19888,kegg:C01251,kegg:C04002,kegg:C19886,kegg:C19887,kegg:C00322
Steroid hormone biosynthesis - Homo sapiens (human)	KEGG	kegg:C00951,kegg:C03917,kegg:C02373,kegg:C01227,kegg:C01780,kegg:C05478,kegg:C03681,kegg:C00410,kegg:C05479,kegg:C03205,kegg:C05139,kegg:C05138,kegg:C00523,kegg:C05302,kegg:C04555,kegg:C05300,kegg:C05301,kegg:C00468,kegg:C01953,kegg:C05140,kegg:C05141,kegg:C04373,kegg:C00674,kegg:C18038,kegg:C18039,kegg:C11134,kegg:C05497,kegg:C11136,kegg:C11131,kegg:C11132,kegg:C11133,kegg:C03772,kegg:C05498,kegg:C05499,kegg:C05474,kegg:C05475,kegg:C05476,kegg:C05477,kegg:C05470,kegg:C05471,kegg:C05472,kegg:C05473,kegg:C04042,kegg:C02140,kegg:C00280,kegg:C00762,kegg:C05489,kegg:C05488,kegg:C01176,kegg:C05481,kegg:C05480,kegg:C05483,kegg:C05482,kegg:C05485,kegg:C05484,kegg:C05487,kegg:C04676,kegg:C05500,kegg:C05501,kegg:C05502,kegg:C05503,kegg:C05504,kegg:C05469,kegg:C13712,kegg:C13713,kegg:C04518,kegg:C05298,kegg:C05299,kegg:C05294,kegg:C05295,kegg:C05296,kegg:C05297,kegg:C05290,kegg:C05291,kegg:C05293,kegg:C08358,kegg:C08359,kegg:C00187,kegg:C08357,kegg:C03935,kegg:C18040,kegg:C18045,kegg:C18044,kegg:C02538,kegg:C04295,kegg:C02537,kegg:C00535,kegg:C05490,kegg:C03747,kegg:C05285,kegg:C05284,kegg:C00735,kegg:C18075,kegg:C18043,kegg:C01124,kegg:C03852,kegg:C18042,kegg:C11135,kegg:C18041
Oocyte meiosis - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C01245,kegg:C00410,kegg:C00575
beta-Alanine metabolism - Homo sapiens (human)	KEGG	kegg:C00386,kegg:C00383,kegg:C01262,kegg:C00429,kegg:C05665,kegg:C01013,kegg:C05669,kegg:C05668,kegg:C03492,kegg:C01073,kegg:C03722,kegg:C00049,kegg:C00894,kegg:C00315,kegg:C00334,kegg:C00555,kegg:C00083,kegg:C00106,kegg:C02335,kegg:C00100,kegg:C00750,kegg:C00024,kegg:C05670,kegg:C02642,kegg:C00864,kegg:C00099,kegg:C00804,kegg:C05340,kegg:C05341,kegg:C00222,kegg:C00986,kegg:C00135
Dilated cardiomyopathy - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C01330,kegg:C02135,kegg:C00575
HIF-1 signaling pathway - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C00165,kegg:C00072,kegg:C00007,kegg:C00022,kegg:C00024,kegg:C00026,kegg:C14818,kegg:C01245,kegg:C00338,kegg:C00704,kegg:C00186,kegg:C00002,kegg:C00031,kegg:C00533
Renin-angiotensin system - Homo sapiens (human)	KEGG	kegg:C15848,kegg:C15849,kegg:C20970,kegg:C20971,kegg:C20972,kegg:C20973,kegg:C15852,kegg:C15851,kegg:C15850,kegg:C00873,kegg:C02135
Phenylalanine metabolism - Homo sapiens (human)	KEGG	kegg:C06866,kegg:C11588,kegg:C04044,kegg:C19946,kegg:C00406,kegg:C02763,kegg:C00156,kegg:C12624,kegg:C16719,kegg:C19945,kegg:C00642,kegg:C00423,kegg:C00811,kegg:C00601,kegg:C01586,kegg:C14145,kegg:C02265,kegg:C05629,kegg:C02505,kegg:C11457,kegg:C16666,kegg:C20062,kegg:C05598,kegg:C05620,kegg:C14144,kegg:C00180,kegg:C07086,kegg:C00084,kegg:C00082,kegg:C00083,kegg:C05593,kegg:C07303,kegg:C00042,kegg:C05332,kegg:C04351,kegg:C08300,kegg:C00122,kegg:C00512,kegg:C01198,kegg:C02765,kegg:C00166,kegg:C03519,kegg:C00022,kegg:C00024,kegg:C17268,kegg:C00755,kegg:C00630,kegg:C00079,kegg:C18202,kegg:C05607,kegg:C08301,kegg:C01772,kegg:C00596,kegg:C02137,kegg:C12621,kegg:C06207,kegg:C00805,kegg:C19975,kegg:C04148,kegg:C00091,kegg:C12623,kegg:C12622,kegg:C05852,kegg:C05853,kegg:C15524,kegg:C00582,kegg:C00223,kegg:C01575,kegg:C03589,kegg:C00323,kegg:C04479,kegg:C02232
Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C01330
Endocytosis - Homo sapiens (human)	KEGG	kegg:C04637,kegg:C11556,kegg:C05981,kegg:C00035,kegg:C04549,kegg:C00044
Thyroid hormone synthesis - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C00092,kegg:C00165,kegg:C02515,kegg:C00006,kegg:C00007,kegg:C00005,kegg:C01060,kegg:C01829,kegg:C00027,kegg:C01330,kegg:C02465,kegg:C01245,kegg:C00117,kegg:C00231,kegg:C00575,kegg:C00708,kegg:C00127,kegg:C00001,kegg:C00051,kegg:C00238
D-Glutamine and D-glutamate metabolism - Homo sapiens (human)	KEGG	kegg:C00064,kegg:C00692,kegg:C01050,kegg:C02671,kegg:C05723,kegg:C03933,kegg:C00025,kegg:C00026,kegg:C00819,kegg:C02237,kegg:C00217,kegg:C01212
D-Arginine and D-ornithine metabolism - Homo sapiens (human)	KEGG	kegg:C00077,kegg:C03564,kegg:C00792,kegg:C00515,kegg:C00062,kegg:C01110,kegg:C03341,kegg:C03771,kegg:C01667,kegg:C03943
Long-term depression - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C00165,kegg:C00533,kegg:C00942,kegg:C00025,kegg:C01330,kegg:C01245,kegg:C00641,kegg:C00219
Tight junction - Homo sapiens (human)	KEGG	kegg:C05981
Small cell lung cancer - Homo sapiens (human)	KEGG	kegg:C00777,kegg:C15493,kegg:C05981
Protein processing in endoplasmic reticulum - Homo sapiens (human)	KEGG	kegg:C00076,kegg:G10694,kegg:G00009,kegg:G00011,kegg:G00010,kegg:G00012
Systemic lupus erythematosus - Homo sapiens (human)	KEGG	kegg:C00434,kegg:C02737,kegg:C00027
Acute myeloid leukemia - Homo sapiens (human)	KEGG	kegg:C05981
Autoimmune thyroid disease - Homo sapiens (human)	KEGG	kegg:C01382,kegg:C01829,kegg:C02465,kegg:D00636
