SET_ID	Metabolites	Pathways
SET_11	1-methylnicotinamide;ADP;AMP;glutamate_HILIC-pos;glutamine;niacinamide;quinolinate	SMPDB:Nicotinate and Nicotinamide Metabolism|Reactome:Nicotinate metabolism|INOH:Nicotinate Nicotinamide metabolism
SET_12	1-methylnicotinamide;Arachidonic_acid	Reactome:Synthesis of Prostaglandins (PG) and Thromboxanes (TX)
SET_13	1-methylnicotinamide;Arachidonic_acid;C14:0_LPC_C8-pos;C14:0_LPC_HILIC-pos;C16:0_LPC;C16:1_LPC_C8-pos;C16:1_LPC_HILIC-pos;C16:1_LPC_plasmalogen;C18:0_LPC_C8-pos;C18:0_LPC_HILIC-pos;C18:0_LPC_isomer;C18:1_LPC_C8-pos;C18:1_LPC_HILIC-pos;C18:1_LPC_isomer;C18:1_LPC_plasmalogen;C18:1_LPC_plasmalogen_isomer;C18:2_LPC_C8-pos;C18:2_LPC_HILIC-pos;C18:2_LPC_isomer;C20:3_LPC;C20:4_LPC_C8-pos;C20:4_LPC_HILIC-pos;C20:5_LPC;C22:6_LPC_C8-pos;C22:6_LPC_HILIC-pos;C30:0_PC;C30:1_PC;C32:0_PC;C32:1_PC;C32:2_PC;C34:0_PC;C34:1_PC;C34:2_PC;C34:3_PC;C34:4_PC;C36:0_PC;C36:1_PC;C36:2_PC;C36:3_PC;C36:4_PC-A;C36:4_PC-B;C38:2_PC;C38:3_PC;C38:4_PC;C38:6_PC;C40:10_PC;C40:6_PC;C40:9_PC;glutamate_HILIC-pos;glycine	Reactome:Arachidonic acid metabolism|Wikipathways:Arachidonic acid metabolism
SET_14	1-methylnicotinamide;acetylcholine;ADP;alpha-glycerophosphate;alpha-glycerophosphocholine;alpha-ketoglutarate;AMP;Arachidonic_acid;C14:0_LPC_C8-pos;C14:0_LPC_HILIC-pos;C16_carnitine;C16:0_Ceramide_(d18:1);C16:0_LPC;C16:0_SM_C8-pos;C16:0_SM_HILIC-pos;C16:1_CE;C16:1_CE_+NH4;C16:1_LPC_C8-pos;C16:1_LPC_HILIC-pos;C16:1_LPC_plasmalogen;C18:0_CE;C18:0_CE_+NH4;C18:0_LPC_C8-pos;C18:0_LPC_HILIC-pos;C18:0_LPC_isomer;C18:0_SM_C8-pos;C18:0_SM_HILIC-pos;C18:1_LPC_C8-pos;C18:1_LPC_HILIC-pos;C18:1_LPC_isomer;C18:1_LPC_plasmalogen;C18:1_LPC_plasmalogen_isomer;C18:1_SM_C8-pos;C18:1_SM_HILIC-pos;C18:2_LPC_C8-pos;C18:2_LPC_HILIC-pos;C18:2_LPC_isomer;C18:3_CE;C18:3_CE_+NH4;C2_carnitine;C20:0_SM;C20:3_CE;C20:3_CE_+NH4;C20:3_LPC;C20:4_CE;C20:4_CE_+NH4;C20:4_LPC_C8-pos;C20:4_LPC_HILIC-pos;C20:5_CE;C20:5_CE_+NH4;C20:5_LPC;C22:0_Ceramide_(d18:1);C22:0_SM;C22:1_SM;C22:4_CE;C22:4_CE_+NH4;C22:6_CE;C22:6_CE_+NH4;C22:6_LPC_C8-pos;C22:6_LPC_HILIC-pos;C24:0_Ceramide_(d18:1);C24:1_Ceramide_(d18:1);C24:1_SM;C3_carnitine;C30:0_PC;C30:1_PC;C32:0_DAG;C32:0_DAG_+NH4;C32:0_PC;C32:0_PE;C32:1_DAG;C32:1_DAG_+NH4;C32:1_PC;C32:2_DAG;C32:2_PC;C34:0_DAG;C34:0_DAG_+NH4;C34:0_PC;C34:0_PE;C34:1_PC;C34:2_DAG;C34:2_DAG_+NH4;C34:2_PC;C34:2_PE;C34:2_PE_plasmalogen;C34:3_DAG;C34:3_DAG_+NH4;C34:3_PC;C34:4_PC;C36:0_DAG;C36:0_DAG_+NH4;C36:0_PC;C36:0_PE;C36:1_PC;C36:1_PE;C36:1_PE_plasmalogen;C36:2_DAG;C36:2_DAG_+NH4;C36:2_PC;C36:2_PE;C36:2_PE_plasmalogen;C36:3_DAG;C36:3_DAG_+NH4;C36:3_PC;C36:3_PE;C36:4_DAG;C36:4_DAG_+NH4;C36:4_PC-A;C36:4_PC-B;C36:4_PE;C38:2_PC;C38:2_PE;C38:3_PC;C38:4_DAG;C38:4_DAG_+NH4;C38:4_PC;C38:4_PE;C38:5_PE;C38:6_PC;C38:6_PE;C40:10_PC;C40:6_PC;C40:6_PE;C40:6_PS;C40:9_PC;C48:1_TAG;C48:1_TAG_+NH4;C48:2_TAG;C48:2_TAG_+NH4;C50:0_TAG;C50:0_TAG_+NH4;C50:1_TAG;C50:1_TAG_+NH4;C50:2_TAG;C50:2_TAG_+NH4;C50:3_TAG;C50:3_TAG_+NH4;C50:4_TAG;C50:4_TAG_+NH4;C51:2_TAG;C51:2_TAG_+NH4;C52:0_TAG;C52:0_TAG_+NH4;C52:1_TAG;C52:1_TAG_+NH4;C52:2_TAG;C52:2_TAG_+NH4;C52:3_TAG;C52:3_TAG_+NH4;C52:4_TAG;C52:4_TAG_+NH4;C52:5_TAG;C52:6_TAG;C52:6_TAG_+NH4;C54:1_TAG;C54:1_TAG_+NH4;C54:2_TAG;C54:2_TAG_+NH4;C54:3_TAG;C54:3_TAG_+NH4;C54:4_TAG;C54:4_TAG_+NH4;C54:5_TAG;C54:6_TAG;C54:7_TAG;C54:7_TAG_+NH4;C56:1_TAG;C56:1_TAG_+NH4;C56:2_TAG;C56:2_TAG_+NH4;C56:3_TAG;C56:3_TAG_+NH4;C56:4_TAG;C56:4_TAG_+NH4;C56:5_TAG;C56:5_TAG_+NH4;C56:6_TAG;C56:6_TAG_+NH4;C56:7_TAG;C56:7_TAG_+NH4;C56:8_TAG;C56:8_TAG_+NH4;C56:9_TAG;C56:9_TAG_+NH4;C58:10_TAG;C58:10_TAG_+NH4;C58:6_TAG;C58:6_TAG_+NH4;C58:7_TAG;C58:7_TAG_+NH4;C58:8_TAG;C58:8_TAG_+NH4;C58:9_TAG;C58:9_TAG_+NH4;C60:12_TAG;C60:12_TAG_+NH4;Capric_acid;Chenodeoxycholate;Cholate;choline;Cortexolone;Cortisol;Cortisone;Deoxycholate;DHAP/glyceraldehyde_3P;Docosahexaenoic_acid;Eicosapentaenoic_acid;eicosapentaenoic_acid;glutamate_HILIC-pos;glycine;Glycochenodeoxycholate;Glycocholate;glycocholate;inositol;Linoleic_acid;Lithocholate;malate;Palmitic_acid;phosphocholine;phosphoethanolamine;serine;Sphinganine;Sphingosine_1-Phosphate;sphingosine_C8-pos;sphingosine_HILIC-pos;Stearic_acid;succinate;taurine_HILIC-neg;taurine_HILIC-pos;Taurochenodeoxycholate	Reactome:Metabolism of lipids and lipoproteins
SET_15	1-methylnicotinamide;acetylcholine;alpha-ketoglutarate;bilirubin;C16:1_CE;C16:1_CE_+NH4;C18:0_CE;C18:0_CE_+NH4;C18:3_CE;C18:3_CE_+NH4;C20:3_CE;C20:3_CE_+NH4;C20:4_CE;C20:4_CE_+NH4;C20:5_CE;C20:5_CE_+NH4;C22:4_CE;C22:4_CE_+NH4;C22:6_CE;C22:6_CE_+NH4;carnitine;Chenodeoxycholate;Cholate;choline;Cortisol;Deoxycholate;Glycochenodeoxycholate;Glycocholate;glycocholate;Hydrochlorothiazide;Lithocholate;Salicylic_acid;serotonin;spermidine;Taurochenodeoxycholate;thyroxine;urate_HILIC-neg;urate_HILIC-pos	KEGG:Bile secretion - Homo sapiens (human)
SET_16	1-methylnicotinamide;adenosine;ADP;alanine;alpha-ketoglutarate;arginine;asparagine;aspartate;beta-alanine;betaine;C16:0_SM_C8-pos;C16:0_SM_HILIC-pos;C18:0_SM_C8-pos;C18:0_SM_HILIC-pos;C18:1_SM_C8-pos;C18:1_SM_HILIC-pos;C20:0_SM;C22:0_SM;C22:1_SM;C24:1_SM;C30:0_PC;C30:1_PC;C32:0_PC;C32:0_PE;C32:1_PC;C32:2_PC;C34:0_PC;C34:0_PE;C34:1_PC;C34:2_PC;C34:2_PE;C34:2_PE_plasmalogen;C34:3_PC;C34:4_PC;C36:0_PC;C36:0_PE;C36:1_PC;C36:1_PE;C36:1_PE_plasmalogen;C36:2_PC;C36:2_PE;C36:2_PE_plasmalogen;C36:3_PC;C36:3_PE;C36:4_PC-A;C36:4_PC-B;C36:4_PE;C38:2_PC;C38:2_PE;C38:3_PC;C38:4_PC;C38:4_PE;C38:5_PE;C38:6_PC;C38:6_PE;C40:10_PC;C40:6_PC;C40:6_PE;C40:6_PS;C40:9_PC;Capric_acid;Chenodeoxycholate;Cholate;choline;creatinine;cytosine;Dodecanoic_acid;GABA;GDP;gentisate;glutamate_HILIC-pos;glutamine;glycine;Glycocholate;glycocholate;guanine;guanosine;hexose_monophosphate;histidine;hypoxanthine_HILIC-neg;hypoxanthine_HILIC-pos;inosine_HILIC-neg;inosine_HILIC-pos;inositol;isoleucine;lactate;leucine;Linoleic_acid;lysine;malate;methionine;Myristic_acid;Oleic_acid;ornithine;Palmitic_acid;pantothenate;phenylalanine;proline;propionate;pyruvate;serine;serotonin;spermidine;Stearic_acid;succinate;taurine_HILIC-neg;taurine_HILIC-pos;Taurochenodeoxycholate;threonine;thymine;thyroxine;tryptophan_HILIC-neg;tryptophan_HILIC-pos;tyrosine;uracil;urate_HILIC-neg;urate_HILIC-pos;uridine;valine	Reactome:Transmembrane transport of small molecules
SET_17	1-methylnicotinamide;adenosine;ADP;alanine;alpha-ketoglutarate;arginine;asparagine;aspartate;beta-alanine;betaine;Capric_acid;Chenodeoxycholate;Cholate;choline;creatinine;cytosine;Dodecanoic_acid;GABA;glutamate_HILIC-pos;glutamine;glycine;Glycocholate;glycocholate;guanine;guanosine;hexose_monophosphate;histidine;hypoxanthine_HILIC-neg;hypoxanthine_HILIC-pos;inosine_HILIC-neg;inosine_HILIC-pos;inositol;isoleucine;lactate;leucine;Linoleic_acid;lysine;malate;methionine;Myristic_acid;Oleic_acid;ornithine;Palmitic_acid;pantothenate;phenylalanine;proline;propionate;pyruvate;serine;serotonin;spermidine;Stearic_acid;succinate;taurine_HILIC-neg;taurine_HILIC-pos;Taurochenodeoxycholate;threonine;thymine;thyroxine;tryptophan_HILIC-neg;tryptophan_HILIC-pos;tyrosine;uracil;urate_HILIC-neg;urate_HILIC-pos;uridine;valine	Reactome:SLC-mediated transmembrane transport
SET_18	1-methylnicotinamide;alanine;alpha-ketoglutarate;arginine;asparagine;beta-alanine;betaine;choline;creatinine;GABA;glutamine;glycine;histidine;inositol;isoleucine;lactate;leucine;lysine;methionine;phenylalanine;proline;pyruvate;serine;serotonin;spermidine;succinate;taurine_HILIC-neg;taurine_HILIC-pos;threonine;tryptophan_HILIC-neg;tryptophan_HILIC-pos;tyrosine;urate_HILIC-neg;urate_HILIC-pos;valine	Reactome:Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds
SET_19	1-methylnicotinamide;alpha-ketoglutarate;choline;creatinine;lactate;serotonin;spermidine;urate_HILIC-neg;urate_HILIC-pos	Reactome:Organic cation/anion/zwitterion transport
SET_20	1-methylnicotinamide;aspartate;DHAP/glyceraldehyde_3P;GABA;niacinamide;propionate;pyruvate;quinolinate	KEGG:Nicotinate and nicotinamide metabolism - Homo sapiens (human)
SET_21	1-methylnicotinamide;choline;creatinine;serotonin;spermidine	Reactome:Organic cation transport
SET_22	1-methylnicotinamide;niacinamide	Reactome:Nicotinamide salvaging
SET_23	2-aminoadipate;3-hydroxyanthranilic_acid;adenosine;ADP;alanine;alpha-ketoglutarate;alpha-ketoisovalerate;AMP;arginine;ascorbate;asparagine;aspartate;betaine;butyrobetaine;citrulline;creatine;creatinine;dimethylglycine;glutamate_HILIC-pos;glutamine;glycine;guanidinoacetic_acid;histidine;isoleucine;kynurenic_acid;kynurenine;leucine;lysine;malate;methionine;ornithine;oxalate;phenylalanine;proline;putrescine;pyruvate;serine;serotonin;spermidine;succinate;taurine_HILIC-neg;taurine_HILIC-pos;thyroxine;tryptophan_HILIC-neg;tryptophan_HILIC-pos;tyrosine;Urocanic_acid;valine	Reactome:Metabolism of amino acids and derivatives
SET_24	2-aminoadipate;ADP;alpha-ketoglutarate;butyrobetaine;glutamate_HILIC-pos;glycine;lysine;N6-acetyl-L-lysine;N6-Acetyllysine;succinate	INOH:Lysine degradation
SET_25	2-aminoadipate;alpha-ketoglutarate;AMP;C16_carnitine;carnitine;glutamate_HILIC-pos;lysine;Palmitic_acid;pipecolic_acid	SMPDB:Glutaric Aciduria Type I
SET_26	2-aminoadipate;alpha-ketoglutarate;AMP;butyrobetaine;glutamate_HILIC-pos;glycine;lysine;pipecolic_acid;succinate	EHMN:Lysine metabolism
SET_27	2-aminoadipate;alpha-ketoglutarate;aspartate;lysine	KEGG:Lysine biosynthesis - Homo sapiens (human)
SET_28	2-aminoadipate;alpha-ketoglutarate;glutamate_HILIC-pos;lysine	Reactome:Lysine catabolism|HumanCyc:lysine degradation I (saccharopine pathway)
SET_29	2-aminoadipate;alpha-ketoglutarate;glutamate_HILIC-pos;lysine;pipecolic_acid	SMPDB:Pyridoxine dependency with seizures|SMPDB:Hyperlysinemia I, Familial|SMPDB:Saccharopinuria/Hyperlysinemia II|SMPDB:2-aminoadipic 2-oxoadipic aciduria|SMPDB:Lysine Degradation|HumanCyc:lysine degradation II (pipecolate pathway)|SMPDB:Hyperlysinemia II or Saccharopinuria
SET_30	2-aminoadipate;butyrobetaine;glycine;lysine;N6-acetyl-L-lysine;N6-Acetyllysine;pipecolic_acid	KEGG:Lysine degradation - Homo sapiens (human)
SET_31	2-hydroxyglutarate;ADP;alpha-ketoglutarate;AMP;GDP;lactate;malate;pyruvate;succinate	Reactome:The citric acid (TCA) cycle and respiratory electron transport
SET_32	2-hydroxyglutarate;ADP;alpha-ketoglutarate;GDP;lactate;malate;pyruvate;succinate	Wikipathways:The citric acid (TCA) cycle and respiratory electron transport|Reactome:Pyruvate metabolism and Citric Acid (TCA) cycle
SET_33	2-hydroxyglutarate;alpha-ketoglutarate	Reactome:Interconversion of 2-oxoglutarate and 2-hydroxyglutarate
SET_34	2-phosphoglycerate;3-phosphoglycerate;aspartate;DHAP/glyceraldehyde_3P;hexose_monophosphate;lactate;PEP;pyruvate	Wikipathways:Glycolysis and Gluconeogenesis
SET_35	21-Deoxycortisol;Cortexolone;Cortisol;Cortisone	SMPDB:21-hydroxylase deficiency (CYP21)|SMPDB:11-beta-hydroxylase deficiency (CYP11B1)|SMPDB:Apparent mineralocorticoid excess syndrome|EHMN:C21-steroid hormone biosynthesis and metabolism|SMPDB:Corticosterone methyl oxidase I deficiency (CMO I)|SMPDB:Steroidogenesis|KEGG:Steroid hormone biosynthesis - Homo sapiens (human)|SMPDB:3-Beta-Hydroxysteroid Dehydrogenase Deficiency|SMPDB:Adrenal Hyperplasia Type 5 or Congenital Adrenal Hyperplasia due to 17 Alpha-hydroxylase Deficiency|SMPDB:17-alpha-hydroxylase deficiency (CYP17)|SMPDB:Congenital Lipoid Adrenal Hyperplasia (CLAH) or Lipoid CAH|SMPDB:Adrenal Hyperplasia Type 3 or Congenital Adrenal Hyperplasia due to 21-hydroxylase Deficiency|SMPDB:Corticosterone methyl oxidase II deficiency - CMO II
SET_36	3-hydroxyanthranilic_acid;ADP;alanine;AMP;anthranilic_acid;glycine;Indoleacetic_acid;kynurenine;quinolinate;serotonin;tryptophan_HILIC-neg;tryptophan_HILIC-pos	INOH:Tryptophan degradation
SET_37	3-hydroxyanthranilic_acid;ADP;alanine;alpha-ketoglutarate;AMP;anthranilic_acid;glutamate_HILIC-pos;Indoleacetic_acid;kynurenic_acid;kynurenine;quinolinate;serotonin;tryptophan_HILIC-neg;tryptophan_HILIC-pos	EHMN:Tryptophan metabolism
SET_38	3-hydroxyanthranilic_acid;adenosine;ADP;alanine;alpha-ketoglutarate;AMP;arginine;ascorbate;asparagine;aspartate;betaine;citrulline;creatine;creatinine;dimethylglycine;glutamate_HILIC-pos;glutamine;glycine;guanidinoacetic_acid;histidine;kynurenic_acid;kynurenine;lysine;malate;methionine;ornithine;oxalate;phenylalanine;proline;putrescine;pyruvate;serine;serotonin;spermidine;succinate;taurine_HILIC-neg;taurine_HILIC-pos;thyroxine;tryptophan_HILIC-neg;tryptophan_HILIC-pos;tyrosine;Urocanic_acid	Wikipathways:Phenylketonuria|Wikipathways:Metabolism of amino acids and derivatives
SET_39	3-hydroxyanthranilic_acid;alanine;AMP;glutamate_HILIC-pos;glutamine;Indoleacetic_acid;quinolinate;serotonin;tryptophan_HILIC-neg;tryptophan_HILIC-pos	HumanCyc:superpathway of tryptophan utilization
SET_40	3-hydroxyanthranilic_acid;alanine;AMP;glutamate_HILIC-pos;glutamine;kynurenine;quinolinate;tryptophan_HILIC-neg;tryptophan_HILIC-pos	Wikipathways:NAD Biosynthesis II (from tryptophan)
SET_41	3-hydroxyanthranilic_acid;alanine;AMP;glutamate_HILIC-pos;glutamine;quinolinate;tryptophan_HILIC-neg;tryptophan_HILIC-pos	HumanCyc:NAD <i>de novo</i> biosynthesis
SET_42	3-hydroxyanthranilic_acid;alanine;alpha-ketoglutarate;anthranilic_acid;glutamate_HILIC-pos;Indoleacetic_acid;kynurenic_acid;kynurenine;quinolinate;serotonin;tryptophan_HILIC-neg;tryptophan_HILIC-pos	SMPDB:Tryptophan Metabolism
SET_43	3-hydroxyanthranilic_acid;alanine;alpha-ketoglutarate;anthranilic_acid;glutamate_HILIC-pos;kynurenic_acid;tryptophan_HILIC-neg;tryptophan_HILIC-pos	HumanCyc:L-kynurenine degradation
SET_44	3-hydroxyanthranilic_acid;alanine;alpha-ketoglutarate;glutamate_HILIC-pos;kynurenic_acid;kynurenine;phenylalanine;pyruvate;tryptophan_HILIC-neg;tryptophan_HILIC-pos	Reactome:Tryptophan catabolism
SET_45	3-hydroxyanthranilic_acid;alanine;tryptophan_HILIC-neg;tryptophan_HILIC-pos	HumanCyc:tryptophan degradation|HumanCyc:tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
SET_46	3-hydroxyanthranilic_acid;anthranilic_acid;Indoleacetic_acid;indolelactate;kynurenic_acid;kynurenine;quinolinate;serotonin;tryptophan_HILIC-neg;tryptophan_HILIC-pos	KEGG:Tryptophan metabolism - Homo sapiens (human)
SET_47	3-methylxanthine;xanthine	KEGG:Caffeine metabolism - Homo sapiens (human)
SET_48	3-phosphoglycerate;5-aminolevulinic_acid;ADP;alanine;alpha-ketoglutarate;AMP;arginine;betaine;creatine;dimethylglycine;glutamate_HILIC-pos;glyceric_acid;glycine;guanidinoacetic_acid;methionine;pyruvate;sarcosine;serine	SMPDB:Sarcosinemia|SMPDB:Non Ketotic Hyperglycinemia|SMPDB:Glycine and Serine Metabolism|SMPDB:Dimethylglycine Dehydrogenase Deficiency|SMPDB:3-Phosphoglycerate dehydrogenase deficiency|SMPDB:Hyperglycinemia, non-ketotic|SMPDB:Dihydropyrimidine Dehydrogenase Deficiency (DHPD)
SET_49	3-phosphoglycerate;ADP;DHAP/glyceraldehyde_3P;hexose_monophosphate;PEP;pyruvate	SMPDB:Fanconi-bickel syndrome|SMPDB:Glycolysis|SMPDB:Glycogenosis, Type VII. Tarui disease
SET_50	3-phosphoglycerate;ADP;alpha-glycerophosphate;C32:0_DAG;C32:0_DAG_+NH4;C32:1_DAG;C32:1_DAG_+NH4;C32:2_DAG;C34:0_DAG;C34:0_DAG_+NH4;C34:2_DAG;C34:2_DAG_+NH4;C34:3_DAG;C34:3_DAG_+NH4;C36:0_DAG;C36:0_DAG_+NH4;C36:2_DAG;C36:2_DAG_+NH4;C36:3_DAG;C36:3_DAG_+NH4;C36:4_DAG;C36:4_DAG_+NH4;C38:4_DAG;C38:4_DAG_+NH4;DHAP/glyceraldehyde_3P;glyceric_acid;Palmitic_acid	SMPDB:Glycerol Kinase Deficiency|SMPDB:Familial lipoprotein lipase deficiency|SMPDB:Glycerolipid Metabolism|SMPDB:D-glyceric acidura
